initial: 864589772
549196130 * 1
549196130 * 2
98392253 * 3
295176759 * 3
885530277 * 1
885530277 * 2
771060547 * 10
710605421 * 5
553027084 * 4
212108322 * 2
424216644 * 1
424216644 * 2
848433288 * 1
848433288 * 9
635899543 * 2
271799079 * 5
358995388 * 1
358995388 * 6
153972314 * 1
153972314 * 1
153972314 * 6
923833884 * 1
923833884 * 1
923833884 * 2
847667761 * 6
86006531 * 3
258019593 * 2
516039186 * 11
676431011 * 1
676431011 * 5
382155034 * 3
146465095 * 4
585860380 * 1
585860380 * 3
757581133 * 1
757581133 * 7
303067896 * 4
212271577 * 3
636814731 * 1
636814731 * 4
547258910 * 5
736294536 * 1
736294536 * 4
945178130 * 2
890356253 * 7
232493729 * 1
232493729 * 2
464987458 * 3
394962367 * 1
394962367 * 6
369774188 * 12
437290228 * 2
874580456 * 3
623741354 * 2
247482701 * 6
484896199 * 1
484896199 * 6
909377180 * 1
909377180 * 2
818754353 * 4
275017391 * 1
275017391 * 6
650104339 * 1
650104339 * 2
300208671 * 2
600417342 * 5
2086689 * 2
4173378 * 2
8346756 * 3
25040268 * 4
100161072 * 2
200322144 * 5
1610713 * 2
3221426 * 2
6442852 * 5
32214260 * 1
32214260 * 1
32214260 * 3
96642780 * 3
289928340 * 2
579856680 * 6
479140059 * 1
479140059 * 2
958280118 * 6
749680673 * 4
998722678 * 4
994890691 * 4
979562743 * 1
979562743 * 4
918250951 * 2
836501895 * 3
509505671 * 1
509505671 * 1
509505671 * 1
509505671 * 7
566539676 * 2
133079345 * 4
532317380 * 10
323173765 * 1
323173765 * 2
646347530 * 1
646347530 * 2
292695053 * 3
878085159 * 3
634255463 * 1
634255463 * 2
268510919 * 4
74043669 * 3
222131007 * 2
444262014 * 3
332786035 * 2
665572070 * 2
331144133 * 1
331144133 * 1
331144133 * 3
993432399 * 8
947459143 * 9
527132231 * 5
635661141 * 1
635661141 * 2
271322275 * 1
271322275 * 4
85289093 * 3
255867279 * 2
511734558 * 3
535203667 * 1
535203667 * 3
605610994 * 3
816832975 * 1
816832975 * 3
450498911 * 6

702993452 * 1
702993452 * 1
702993452 * 4
811973794 * 2
623947581 * 4
495790310 * 1
495790310 * 4
983161233 * 4
932644911 * 2
865289815 * 3
595869431 * 2
191738855 * 2
383477710 * 2
766955420 * 1
766955420 * 5
834777079 * 4
339108295 * 3
17324878 * 1
17324878 * 2
34649756 * 3
103949268 * 2
207898536 * 3
623695608 * 2
247391209 * 5
236956038 * 4
947824152 * 4
791296587 * 1
791296587 * 4
165186327 * 6
991117962 * 1
991117962 * 7
937825692 * 2
875651377 * 3
626954117 * 1
626954117 * 3
880862344 * 10
808623384 * 2
617246761 * 1
617246761 * 3
851740276 * 4
406961083 * 2
813922166 * 3
441766484 * 5
208832406 * 5
44162023 * 4
176648092 * 5
883240460 * 2
766480913 * 4
65923631 * 2
131847262 * 4
527389048 * 2
54778089 * 3
164334267 * 3
493002801 * 7
451019586 * 2
902039172 * 9
118352492 * 3
355057476 * 3
65172421 * 2
130344842 * 5
651724210 * 1
651724210 * 5
258621029 * 1
258621029 * 2
517242058 * 3
551726167 * 6
310356981 * 2
620713962 * 1
620713962 * 3
862141879 * 3
586425623 * 4
345702478 * 3
37107427 * 10
371074270 * 1
371074270 * 4
484297073 * 1
484297073 * 1
484297073 * 1
484297073 * 3
452891212 * 3
358673629 * 6
152041760 * 6
912250560 * 1
912250560 * 7
385753878 * 1
385753878 * 3
157261627 * 1
157261627 * 2
314523254 * 2
629046508 * 5
145232519 * 5
726162595 * 2
452325183 * 1
452325183 * 5
261625901 * 5
308129498 * 3
924388494 * 1
924388494 * 4
697553955 * 1
697553955 * 3
92661851 * 2
185323702 * 5
926618510 * 1
926618510 * 4
706474019 * 3
119422043 * 3
358266129 * 4
433064509 * 2
866129018 * 3
598387040 * 3
795161113 * 4
180644431 * 1
180644431 * 6
83866579 * 1
83866579 * 2
167733158 * 2
335466316 * 3
6398941 * 2
12797882 * 4
51191528 * 5
255957640 * 1
255957640 * 2
511915280 * 4
47661106 * 2
95322212 * 3
285966636 * 2
571933272 * 1
571933272 * 5
859666346 * 7
17664380 * 2
35328760 * 5
176643800 * 2
353287600 * 1
353287600 * 2
706575200 * 5
532875979 * 4
131503902 * 6
789023412 * 4
156093627 * 1
156093627 * 2
312187254 * 4
248749009 * 8
989992065 * 5
949960297 * 1
949960297 * 3
849880877 * 3
549642617 * 1
549642617 * 2
99285227 * 3
297855681 * 4
191422717 * 1
191422717 * 4
765690868 * 1
765690868 * 2
531381729 * 1
531381729 * 4
125526902 * 2
251053804 * 4
4215209 * 2
8430418 * 2
16860836 * 5
84304180 * 8
674433440 * 2
348866873 * 3
46600612 * 8
372804896 * 4
491219577 * 5
456097871 * 6
736587212 * 1
736587212 * 2
473174417 * 3
419523244 * 7
936662694 * 2
873325381 * 7
113277625 * 5
566388125 * 1
566388125 * 1
566388125 * 1
566388125 * 3
699164368 * 5
495821819 * 3
487465450 * 2
974930900 * 4
899723579 * 2
799447151 * 3
398341439 * 2
796682878 * 2
593365749 * 3
780097240 * 2
560194473 * 3
680583412 * 8
444667261 * 2
889334522 * 5
446672582 * 1
446672582 * 2
893345164 * 1
893345164 * 5
466725792 * 2
933451584 * 8
467612623 * 1
467612623 * 2
935225246 * 1
935225246 * 4
740900963 * 3
222702875 * 6
336217243 * 5
681086208 * 2
362172409 * 4
448689629 * 5
243448131 * 3
730344393 * 1
730344393 * 1
730344393 * 8
842755109 * 5
213775517 * 1
213775517 * 1
213775517 * 6
282653095 * 4
130612373 * 1
130612373 * 5
653061865 * 1
653061865 * 1
653061865 * 3
959185588 * 2
918371169 * 7
428598141 * 3
285794416 * 3
857383248 * 2
714766489 * 1
714766489 * 2
429532971 * 1
429532971 * 2
859065942 * 3
577197812 * 2
154395617 * 8
235164929 * 2
470329858 * 5
351649276 * 2
703298552 * 3
109895642 * 4
439582568 * 4
758330265 * 2
516660523 * 3
549981562 * 1
549981562 * 6
299889351 * 5
499446748 * 5
497233726 * 5
486168616 * 3
458505841 * 4
834023357 * 4
336093407 * 5
680467028 * 2
360934049 * 2
721868098 * 5
609340469 * 10
93404648 * 3
280213944 * 1
280213944 * 2
560427888 * 6
362567307 * 3
87701914 * 1
87701914 * 2
175403828 * 3
526211484 * 2
52422961 * 3
157268883 * 3
471806649 * 4
887226589 * 5
436132917 * 1
436132917 * 1
436132917 * 4
744531661 * 2
489063315 * 1
489063315 * 1
489063315 * 2
978126630 * 3
934379876 * 2
868759745 * 1
868759745 * 3
606279221 * 3
818837656 * 4
275350603 * 2
550701206
